pre_left_L,pre_left_a,pre_left_b,pre_right_L,pre_right_a,pre_right_b,post_left_0_L,post_left_0_a,post_left_0_b,post_left_1_L,post_left_1_a,post_left_1_b,post_right_0_L,post_right_0_a,post_right_0_b,post_right_1_L,post_right_1_a,post_right_1_b
103,0,0,54,0,0,59,0,0,109,0,0,195,0,0,89,0,0
65,0,0,44,0,0,109,0,0,147,0,0,238,0,0,95,0,0
80,0,0,38,0,0,107,0,0,112,0,0,274,0,0,80,0,0
92,0,0,46,0,0,115,0,0,132,0,0,227,0,0,124,0,0
102,0,0,59,0,0,95,0,0,110,0,0,114,0,0,99,0,0
91,0,0,41,0,0,131,0,0,119,0,0,86,0,6,99,0,0
80,0,0,65,0,0,146,0,7,162,0,0,73,0,6,123,0,0
75,0,0,48,0,0,115,0,21,145,0,0,97,0,20,100,0,0
97,0,0,58,0,0,107,0,16,120,0,0,75,0,22,126,0,0
93,0,0,45,0,0,101,0,38,136,0,0,106,0,149,95,0,0
116,0,0,49,0,0,131,0,35,111,0,0,110,0,234,66,0,0
100,0,0,49,0,0,144,0,34,143,0,0,95,0,132,94,0,0
110,0,0,60,0,0,102,0,26,152,0,0,98,0,93,87,0,0
112,0,0,66,0,0,122,0,22,124,0,0,140,0,82,92,0,0
87,0,0,74,0,0,104,0,21,95,0,0,138,0,30,101,0,0
109,0,0,59,0,0,132,0,11,105,0,0,125,0,41,102,0,0
108,0,7,53,0,0,130,0,9,144,0,0,122,0,17,92,0,0
126,0,1,109,0,0,105,0,8,116,0,0,123,0,14,106,0,0
181,0,7,120,0,0,110,0,12,127,0,0,150,0,13,84,0,0
128,0,5,100,0,0,101,0,14,126,0,0,94,0,23,101,0,0
167,0,5,95,0,0,127,0,8,131,0,0,150,0,25,102,0,0
139,0,8,94,0,0,156,0,12,106,0,0,174,0,14,128,0,0
140,0,3,99,0,0,129,0,5,126,0,0,133,0,16,112,0,0
176,0,18,110,0,0,124,0,10,141,0,0,178,0,8,108,0,0
155,0,6,97,0,0,106,0,7,119,0,0,163,0,9,127,0,0
158,0,3,141,0,0,118,0,15,134,0,0,143,0,21,109,0,0
153,0,9,149,0,0,119,0,11,118,0,0,139,0,18,113,0,0
149,0,14,136,0,0,114,0,11,115,0,0,117,0,22,85,0,0
137,0,10,104,0,2,80,0,15,105,0,0,91,0,12,92,0,0
159,0,7,108,0,1,117,0,8,122,0,0,135,0,14,103,0,0
178,0,2,138,0,4,85,0,14,107,0,0,123,0,10,91,0,0
144,0,10,119,0,2,72,0,12,97,0,0,80,0,15,71,0,0
105,0,13,138,0,1,75,0,15,114,0,0,105,0,11,86,0,0
195,0,8,95,0,1,76,0,10,115,0,0,100,0,12,96,0,0
124,0,4,121,0,1,89,0,14,82,0,0,98,0,18,81,0,0
164,0,4,134,0,0,125,0,23,97,0,0,101,0,26,105,0,0
194,0,5,221,0,2,82,0,29,101,0,0,83,0,11,92,0,0
131,0,10,166,0,4,84,0,31,104,0,2,81,0,14,113,0,0
172,0,11,145,0,1,71,0,54,96,0,8,62,1,9,81,0,0
126,0,8,176,7,7,70,0,29,117,0,3,114,7,22,118,0,0
92,0,8,144,5,2,68,4,48,65,0,3,88,36,14,113,0,1
